pattern,batch-size,algo,bs_position,precision,device_name,median,nruns,ecs
"[[1, 48, 48, 8]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,9981.0,64.0,
"[[1, 48, 48, 12]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,8785.0,64.0,
"[[1, 48, 48, 12]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,8343.0,128.0,
"[[1, 48, 48, 12]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,8891.0,64.0,
"[[1, 48, 48, 12]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,7473.0,64.0,
"[[1, 48, 48, 12]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,7538.0,32.0,
"[[1, 48, 48, 12]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,8012.0,32.0,
"[[1, 48, 48, 12]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,12330.5,32.0,
"[[1, 48, 48, 12]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,10630.5,32.0,
"[[1, 48, 48, 16]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,5962.0,32.0,
"[[1, 48, 48, 16]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,11529.5,128.0,
"[[1, 48, 48, 16]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,5926.0,32.0,
"[[1, 48, 48, 16]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,9374.0,64.0,
"[[1, 48, 48, 16]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,5952.0,16.0,
"[[1, 48, 48, 16]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5192.5,16.0,
"[[1, 48, 48, 16]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,9405.5,16.0,
"[[1, 48, 48, 16]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,9824.5,16.0,
"[[1, 48, 48, 24]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,8711.0,32.0,
"[[1, 48, 48, 24]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,8654.0,64.0,
"[[1, 48, 48, 24]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,8670.5,32.0,
"[[1, 48, 48, 24]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,7356.0,32.0,
"[[1, 48, 48, 24]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,8755.0,16.0,
"[[1, 48, 48, 24]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,8253.0,16.0,
"[[1, 48, 48, 24]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,10387.5,8.0,
"[[1, 48, 48, 24]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,10807.5,8.0,
"[[1, 48, 48, 32]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,6075.5,16.0,
"[[1, 48, 48, 32]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,9685.5,64.0,
"[[1, 48, 48, 32]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,6140.0,16.0,
"[[1, 48, 48, 32]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,9246.5,32.0,
"[[1, 48, 48, 32]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,6256.0,8.0,
"[[1, 48, 48, 32]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5258.0,8.0,
"[[1, 48, 48, 32]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,9497.5,4.0,
"[[1, 48, 48, 32]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,9293.0,4.0,
"[[1, 48, 48, 48]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,9409.5,16.0,
"[[1, 48, 48, 48]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,8758.0,32.0,
"[[1, 48, 48, 48]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,9330.0,16.0,
"[[1, 48, 48, 48]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,7093.0,16.0,
"[[1, 48, 48, 48]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,4828.0,4.0,
"[[1, 48, 48, 48]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,8300.5,8.0,
"[[1, 48, 48, 48]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,9802.5,2.0,
"[[1, 48, 48, 48]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,10198.0,2.0,
"[[1, 48, 48, 64]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,5986.0,8.0,
"[[1, 48, 48, 64]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,11587.0,32.0,
"[[1, 48, 48, 64]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,12943.5,16.0,
"[[1, 48, 48, 64]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,9231.0,16.0,
"[[1, 48, 48, 64]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,6669.5,4.0,
"[[1, 48, 48, 64]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5302.0,4.0,
"[[1, 48, 48, 64]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,17640.0,2.0,
"[[1, 48, 48, 64]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,18575.5,2.0,
"[[1, 48, 48, 96]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,9221.0,8.0,
"[[1, 48, 48, 96]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,7359.5,16.0,
"[[1, 48, 48, 96]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,9666.0,8.0,
"[[1, 48, 48, 96]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,6987.0,8.0,
"[[1, 48, 48, 96]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,5768.0,2.0,
"[[1, 48, 48, 96]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,7683.5,4.0,
"[[1, 48, 48, 96]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,38879.0,2.0,
"[[1, 48, 48, 96]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,39393.0,2.0,
"[[1, 48, 48, 128]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,6615.0,4.0,
"[[1, 48, 48, 128]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,9424.0,16.0,
"[[1, 48, 48, 128]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,6854.0,4.0,
"[[1, 48, 48, 128]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,9087.5,8.0,
"[[1, 48, 48, 128]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,7763.0,2.0,
"[[1, 48, 48, 128]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5361.0,2.0,
"[[1, 48, 48, 128]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,69980.5,2.0,
"[[1, 48, 48, 128]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,72825.5,2.0,
"[[1, 48, 192, 1]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,10584.0,512.0,
"[[1, 48, 192, 1]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,10009.5,512.0,
"[[1, 48, 192, 1]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,5979.0,256.0,
"[[1, 48, 192, 1]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,4955.0,256.0,
